date,day_of_week,is_weekend,weather,exam_day,event,attendance_pct,meals_prepared,meals_consumed,surplus_meals
2025-07-03,Thursday,0,Cloudy,0,None,90.4,422,410,12
2025-07-04,Friday,0,Rainy,0,None,84.5,374,365,9
2025-07-05,Saturday,1,Rainy,0,Sports Event,62.1,226,220,6
2025-07-06,Sunday,1,Rainy,0,None,57.1,191,186,5
2025-07-07,Monday,0,Sunny,0,None,89.4,418,409,9
2025-07-08,Tuesday,0,Sunny,0,None,85.8,392,379,13
2025-07-09,Wednesday,0,Sunny,0,None,92.5,416,402,14
2025-07-10,Thursday,0,Rainy,0,None,91.7,393,384,9
2025-07-11,Friday,0,Sunny,0,None,87.4,415,407,8
2025-07-12,Saturday,1,Hot,0,None,63.5,220,212,8
2025-07-13,Sunday,1,Sunny,0,None,62.0,242,234,8
2025-07-14,Monday,0,Cloudy,0,None,87.0,400,393,7
2025-07-15,Tuesday,0,Sunny,0,None,80.7,358,352,6
2025-07-16,Wednesday,0,Rainy,0,None,75.3,333,323,10
2025-07-17,Thursday,0,Sunny,0,None,87.8,418,407,11
2025-07-18,Friday,0,Rainy,0,Sports Event,86.2,391,378,13
2025-07-19,Saturday,1,Cloudy,0,None,55.8,196,191,5
2025-07-20,Sunday,1,Cloudy,0,None,63.7,238,233,5
2025-07-21,Monday,0,Hot,0,None,82.4,358,352,6
2025-07-22,Tuesday,0,Rainy,0,Workshop,85.0,396,386,10
2025-07-23,Wednesday,0,Hot,0,Workshop,84.0,389,376,13
2025-07-24,Thursday,0,Rainy,0,None,84.9,382,369,13
2025-07-25,Friday,0,Sunny,0,None,82.1,381,374,7
2025-07-26,Saturday,1,Rainy,0,None,51.6,186,181,5
2025-07-27,Sunday,1,Sunny,0,None,54.1,210,204,6
2025-07-28,Monday,0,Hot,0,None,80.5,348,342,6
2025-07-29,Tuesday,0,Cloudy,0,None,81.9,377,366,11
2025-07-30,Wednesday,0,Sunny,0,None,89.9,417,410,7
2025-07-31,Thursday,0,Cloudy,1,None,84.1,379,368,11
2025-08-01,Friday,0,Rainy,0,Festival,81.8,375,365,10
2025-08-02,Saturday,1,Sunny,0,Sports Event,64.4,233,229,4
2025-08-03,Sunday,1,Rainy,0,None,60.6,226,221,5
2025-08-04,Monday,0,Sunny,0,Workshop,87.7,412,401,11
2025-08-05,Tuesday,0,Hot,0,None,83.7,390,383,7
2025-08-06,Wednesday,0,Sunny,0,None,89.3,431,421,10
2025-08-07,Thursday,0,Rainy,0,None,75.2,332,325,7
2025-08-08,Friday,0,Hot,0,None,76.5,354,344,10
2025-08-09,Saturday,1,Sunny,0,None,59.4,224,216,8
2025-08-10,Sunday,1,Cloudy,0,None,63.9,232,226,6
2025-08-11,Monday,0,Hot,0,None,85.5,386,374,12
2025-08-12,Tuesday,0,Cloudy,0,None,84.1,390,380,10
2025-08-13,Wednesday,0,Sunny,0,None,86.0,397,389,8
2025-08-14,Thursday,0,Cloudy,0,None,82.1,379,372,7
2025-08-15,Friday,0,Sunny,0,None,86.8,414,404,10
2025-08-16,Saturday,1,Sunny,0,None,66.2,233,229,4
2025-08-17,Sunday,1,Cloudy,0,None,60.9,229,222,7
2025-08-18,Monday,0,Sunny,0,None,82.9,380,369,11
2025-08-19,Tuesday,0,Sunny,0,None,92.8,431,418,13
2025-08-20,Wednesday,0,Sunny,0,Sports Event,90.2,438,429,9
2025-08-21,Thursday,0,Sunny,0,None,90.2,437,425,12
2025-08-22,Friday,0,Sunny,0,None,79.6,382,370,12
2025-08-23,Saturday,1,Sunny,0,Sports Event,61.5,225,219,6
2025-08-24,Sunday,1,Sunny,0,None,71.9,274,265,9
2025-08-25,Monday,0,Sunny,0,None,88.8,420,413,7
2025-08-26,Tuesday,0,Sunny,0,None,79.9,393,381,12
2025-08-27,Wednesday,0,Rainy,0,None,87.4,391,380,11
2025-08-28,Thursday,0,Cloudy,0,None,87.6,412,398,14
2025-08-29,Friday,0,Sunny,0,Sports Event,93.6,455,442,13
2025-08-30,Saturday,1,Sunny,0,None,62.2,234,227,7
2025-08-31,Sunday,1,Sunny,0,None,54.1,209,202,7
2025-09-01,Monday,0,Cloudy,0,None,86.2,407,395,12
2025-09-02,Tuesday,0,Rainy,0,None,86.4,381,375,6
2025-09-03,Wednesday,0,Cloudy,0,None,83.7,393,384,9
2025-09-04,Thursday,0,Sunny,0,None,88.0,430,416,14
2025-09-05,Friday,0,Sunny,0,None,88.3,416,406,10
2025-09-06,Saturday,1,Rainy,0,None,57.4,203,197,6
2025-09-07,Sunday,1,Hot,0,Festival,57.4,202,198,4
2025-09-08,Monday,0,Rainy,1,Workshop,86.7,382,371,11
2025-09-09,Tuesday,0,Sunny,0,None,86.6,415,405,10
2025-09-10,Wednesday,0,Hot,0,None,86.9,393,384,9
2025-09-11,Thursday,0,Sunny,0,None,87.1,415,406,9
2025-09-12,Friday,0,Rainy,0,None,76.2,343,336,7
2025-09-13,Saturday,1,Cloudy,0,None,60.0,221,215,6
2025-09-14,Sunday,1,Cloudy,0,None,65.6,222,217,5
2025-09-15,Monday,0,Rainy,0,Sports Event,84.1,396,382,14
2025-09-16,Tuesday,0,Sunny,0,None,82.3,382,375,7
2025-09-17,Wednesday,0,Cloudy,0,None,79.2,368,361,7
2025-09-18,Thursday,0,Cloudy,0,None,90.2,408,398,10
2025-09-19,Friday,0,Rainy,0,Cultural Event,87.4,427,413,14
2025-09-20,Saturday,1,Sunny,0,Festival,60.6,226,220,6
2025-09-21,Sunday,1,Sunny,0,None,65.8,253,245,8
2025-09-22,Monday,0,Cloudy,0,None,82.1,385,372,13
2025-09-23,Tuesday,0,Rainy,0,None,82.5,365,355,10
2025-09-24,Wednesday,0,Sunny,0,Cultural Event,91.1,465,449,16
2025-09-25,Thursday,0,Cloudy,0,None,87.2,413,405,8
2025-09-26,Friday,0,Sunny,0,None,87.8,417,406,11
2025-09-27,Saturday,1,Hot,0,None,60.7,185,180,5
2025-09-28,Sunday,1,Hot,0,None,61.3,210,205,5
2025-09-29,Monday,0,Cloudy,0,None,84.1,410,396,14
2025-09-30,Tuesday,0,Cloudy,1,Workshop,81.0,369,363,6
2025-10-01,Wednesday,0,Sunny,0,None,90.7,434,419,15
2025-10-02,Thursday,0,Rainy,0,None,78.0,334,326,8
2025-10-03,Friday,0,Sunny,0,None,88.9,419,412,7
2025-10-04,Saturday,1,Rainy,0,None,51.0,185,180,5
2025-10-05,Sunday,1,Sunny,0,Cultural Event,65.6,269,261,8
2025-10-06,Monday,0,Cloudy,0,None,85.6,401,391,10
2025-10-07,Tuesday,0,Sunny,0,None,86.8,406,399,7
2025-10-08,Wednesday,0,Cloudy,0,None,88.7,402,394,8
2025-10-09,Thursday,0,Rainy,0,None,80.0,354,346,8
2025-10-10,Friday,0,Sunny,0,Sports Event,88.7,434,423,11
2025-10-11,Saturday,1,Hot,0,None,48.5,185,180,5
2025-10-12,Sunday,1,Hot,0,None,64.2,221,217,4
2025-10-13,Monday,0,Rainy,0,None,79.9,364,352,12
2025-10-14,Tuesday,0,Cloudy,0,None,82.2,376,368,8
2025-10-15,Wednesday,0,Hot,0,Workshop,82.8,374,363,11
2025-10-16,Thursday,0,Cloudy,0,None,86.4,404,395,9
2025-10-17,Friday,0,Cloudy,0,None,86.5,403,390,13
2025-10-18,Saturday,1,Sunny,0,None,59.8,225,218,7
2025-10-19,Sunday,1,Rainy,0,None,57.6,199,192,7
2025-10-20,Monday,0,Sunny,0,None,83.3,393,379,14
2025-10-21,Tuesday,0,Sunny,0,None,88.0,418,406,12
2025-10-22,Wednesday,0,Rainy,0,None,76.4,335,326,9
2025-10-23,Thursday,0,Cloudy,0,Workshop,91.2,431,423,8
2025-10-24,Friday,0,Hot,0,None,85.0,387,380,7
2025-10-25,Saturday,1,Sunny,0,None,65.6,233,225,8
2025-10-26,Sunday,1,Sunny,0,None,69.5,254,247,7
2025-10-27,Monday,0,Sunny,0,None,86.0,404,393,11
2025-10-28,Tuesday,0,Sunny,1,None,80.0,361,355,6
2025-10-29,Wednesday,0,Rainy,0,None,80.9,344,333,11
2025-10-30,Thursday,0,Rainy,1,None,77.9,344,337,7
2025-10-31,Friday,0,Cloudy,0,None,86.1,382,374,8
2025-11-01,Saturday,1,Rainy,0,None,55.3,194,190,4
2025-11-02,Sunday,1,Rainy,0,None,63.1,225,221,4
2025-11-03,Monday,0,Sunny,0,Sports Event,87.8,442,428,14
2025-11-04,Tuesday,0,Sunny,0,None,81.3,372,362,10
2025-11-05,Wednesday,0,Rainy,0,None,78.6,347,337,10
2025-11-06,Thursday,0,Sunny,0,None,79.4,362,352,10
2025-11-07,Friday,0,Sunny,0,None,87.6,422,410,12
2025-11-08,Saturday,1,Sunny,0,None,66.2,242,235,7
2025-11-09,Sunday,1,Rainy,0,None,61.1,222,214,8
2025-11-10,Monday,0,Sunny,0,None,90.0,415,407,8
2025-11-11,Tuesday,0,Sunny,0,None,82.8,393,380,13
2025-11-12,Wednesday,0,Sunny,1,None,81.3,375,365,10
2025-11-13,Thursday,0,Rainy,0,None,80.0,341,335,6
2025-11-14,Friday,0,Sunny,0,None,78.0,379,369,10
2025-11-15,Saturday,1,Sunny,0,None,66.9,255,246,9
2025-11-16,Sunday,1,Rainy,0,None,60.8,201,196,5
2025-11-17,Monday,0,Sunny,0,None,87.3,414,406,8
2025-11-18,Tuesday,0,Rainy,0,None,88.2,386,377,9
2025-11-19,Wednesday,0,Hot,0,None,83.3,364,355,9
2025-11-20,Thursday,0,Cloudy,0,None,92.1,424,414,10
2025-11-21,Friday,0,Sunny,0,None,86.8,408,400,8
2025-11-22,Saturday,1,Rainy,0,None,55.8,188,181,7
2025-11-23,Sunday,1,Cloudy,0,None,65.3,249,243,6
2025-11-24,Monday,0,Cloudy,1,None,84.5,397,386,11
2025-11-25,Tuesday,0,Rainy,0,None,81.1,363,357,6
2025-11-26,Wednesday,0,Sunny,0,None,88.0,420,411,9
2025-11-27,Thursday,0,Rainy,0,None,80.2,367,354,13
2025-11-28,Friday,0,Sunny,0,Sports Event,87.4,410,397,13
2025-11-29,Saturday,1,Cloudy,0,Workshop,67.8,244,238,6
2025-11-30,Sunday,1,Sunny,0,None,49.1,189,183,6
2025-12-01,Monday,0,Sunny,0,None,88.6,421,411,10
2025-12-02,Tuesday,0,Sunny,0,None,91.8,417,410,7
2025-12-03,Wednesday,0,Cloudy,0,None,89.9,425,415,10
2025-12-04,Thursday,0,Hot,0,None,78.7,369,362,7
2025-12-05,Friday,0,Rainy,0,None,84.6,375,369,6
2025-12-06,Saturday,1,Hot,0,Cultural Event,61.4,232,225,7
2025-12-07,Sunday,1,Hot,0,None,63.6,231,223,8
2025-12-08,Monday,0,Rainy,0,None,83.4,367,357,10
2025-12-09,Tuesday,0,Sunny,1,Workshop,85.0,402,394,8
2025-12-10,Wednesday,0,Hot,1,Festival,85.5,402,389,13
2025-12-11,Thursday,0,Rainy,0,None,85.3,382,372,10
2025-12-12,Friday,0,Rainy,0,None,82.7,344,335,9
2025-12-13,Saturday,1,Sunny,0,None,62.2,237,233,4
2025-12-14,Sunday,1,Sunny,0,Cultural Event,69.7,279,274,5
2025-12-15,Monday,0,Sunny,0,None,88.8,421,407,14
2025-12-16,Tuesday,0,Sunny,1,None,78.4,353,346,7
2025-12-17,Wednesday,0,Hot,0,None,85.8,395,383,12
2025-12-18,Thursday,0,Rainy,0,None,90.9,394,386,8
2025-12-19,Friday,0,Hot,0,None,87.0,390,382,8
2025-12-20,Saturday,1,Cloudy,0,None,69.0,257,252,5
2025-12-21,Sunday,1,Sunny,0,Cultural Event,71.3,266,261,5
2025-12-22,Monday,0,Cloudy,0,None,79.5,347,338,9
2025-12-23,Tuesday,0,Sunny,1,None,88.5,418,406,12
2025-12-24,Wednesday,0,Hot,0,Sports Event,87.2,399,392,7
2025-12-25,Thursday,0,Cloudy,0,None,88.0,413,400,13
2025-12-26,Friday,0,Sunny,0,None,87.4,405,396,9
2025-12-27,Saturday,1,Rainy,0,None,60.3,198,193,5
2025-12-28,Sunday,1,Rainy,0,None,50.9,186,181,5
2025-12-29,Monday,0,Rainy,0,None,73.0,310,304,6
2025-12-30,Tuesday,0,Sunny,0,Sports Event,96.8,475,461,14
2025-12-31,Wednesday,0,Sunny,0,None,83.8,396,387,9
2026-01-01,Thursday,0,Cloudy,0,None,85.9,394,382,12
2026-01-02,Friday,0,Rainy,0,Festival,81.4,370,361,9
2026-01-03,Saturday,1,Cloudy,0,None,63.7,216,209,7
2026-01-04,Sunday,1,Sunny,0,None,73.0,272,266,6
2026-01-05,Monday,0,Sunny,0,Cultural Event,84.0,428,416,12
2026-01-06,Tuesday,0,Hot,0,Sports Event,78.3,365,354,11
2026-01-07,Wednesday,0,Sunny,1,None,88.3,409,399,10
2026-01-08,Thursday,0,Cloudy,0,None,87.2,403,390,13
2026-01-09,Friday,0,Hot,0,Sports Event,79.3,376,367,9
2026-01-10,Saturday,1,Cloudy,0,Cultural Event,66.5,241,234,7
2026-01-11,Sunday,1,Sunny,0,None,65.8,238,230,8
2026-01-12,Monday,0,Rainy,0,None,80.5,366,354,12
2026-01-13,Tuesday,0,Hot,0,None,82.4,362,355,7
2026-01-14,Wednesday,0,Hot,0,None,80.5,350,343,7
2026-01-15,Thursday,0,Rainy,0,Festival,85.1,379,373,6
2026-01-16,Friday,0,Hot,1,None,84.1,371,359,12
2026-01-17,Saturday,1,Sunny,0,None,59.5,199,195,4
2026-01-18,Sunday,1,Sunny,0,None,58.1,203,197,6
2026-01-19,Monday,0,Hot,0,None,80.1,364,356,8
2026-01-20,Tuesday,0,Rainy,1,None,74.7,308,302,6
2026-01-21,Wednesday,0,Sunny,0,Sports Event,95.4,459,449,10
2026-01-22,Thursday,0,Sunny,0,Cultural Event,91.0,453,444,9
2026-01-23,Friday,0,Sunny,1,None,76.9,354,343,11
2026-01-24,Saturday,1,Hot,0,Festival,68.9,233,228,5
2026-01-25,Sunday,1,Rainy,0,None,59.9,201,195,6
2026-01-26,Monday,0,Rainy,0,None,81.9,374,362,12
2026-01-27,Tuesday,0,Rainy,0,None,81.2,354,347,7
2026-01-28,Wednesday,0,Cloudy,0,None,80.0,375,363,12
2026-01-29,Thursday,0,Sunny,0,None,85.0,397,389,8
2026-01-30,Friday,0,Hot,0,Sports Event,87.6,427,417,10
2026-01-31,Saturday,1,Cloudy,0,Workshop,63.5,230,224,6
2026-02-01,Sunday,1,Sunny,0,None,63.0,233,225,8
2026-02-02,Monday,0,Sunny,0,None,87.5,423,411,12
2026-02-03,Tuesday,0,Sunny,0,None,84.1,393,383,10
2026-02-04,Wednesday,0,Sunny,0,None,84.4,401,387,14
2026-02-05,Thursday,0,Rainy,0,Festival,83.9,381,373,8
2026-02-06,Friday,0,Rainy,0,None,83.6,376,363,13
2026-02-07,Saturday,1,Cloudy,0,None,59.5,219,213,6
2026-02-08,Sunday,1,Cloudy,0,None,59.7,218,211,7
2026-02-09,Monday,0,Cloudy,0,Workshop,78.9,380,367,13
2026-02-10,Tuesday,0,Sunny,0,None,84.9,386,379,7
2026-02-11,Wednesday,0,Sunny,0,Festival,98.0,480,465,15
2026-02-12,Thursday,0,Rainy,0,None,82.2,353,344,9
2026-02-13,Friday,0,Cloudy,0,None,89.7,417,409,8
2026-02-14,Saturday,1,Rainy,0,None,65.4,234,226,8
2026-02-15,Sunday,1,Rainy,0,None,55.1,199,193,6
2026-02-16,Monday,0,Sunny,0,None,84.5,405,394,11
2026-02-17,Tuesday,0,Cloudy,0,None,95.1,440,427,13
2026-02-18,Wednesday,0,Sunny,0,None,82.8,397,387,10
2026-02-19,Thursday,0,Sunny,0,None,98.0,463,451,12
2026-02-20,Friday,0,Cloudy,0,None,92.8,436,424,12
2026-02-21,Saturday,1,Sunny,0,None,70.3,241,233,8
2026-02-22,Sunday,1,Cloudy,0,Workshop,67.4,237,232,5
2026-02-23,Monday,0,Sunny,1,None,88.1,403,391,12
2026-02-24,Tuesday,0,Cloudy,0,Cultural Event,89.7,437,425,12
2026-02-25,Wednesday,0,Cloudy,0,None,87.8,397,384,13
2026-02-26,Thursday,0,Rainy,0,Workshop,84.0,363,355,8
2026-02-27,Friday,0,Sunny,0,Workshop,89.0,436,425,11
2026-02-28,Saturday,1,Rainy,0,Cultural Event,61.7,234,228,6
2026-03-01,Sunday,1,Sunny,0,None,58.6,231,223,8
2026-03-02,Monday,0,Rainy,0,None,81.1,364,354,10
2026-03-03,Tuesday,0,Cloudy,0,None,86.4,395,386,9
2026-03-04,Wednesday,0,Sunny,0,None,87.0,396,384,12
2026-03-05,Thursday,0,Sunny,0,None,82.5,389,381,8
2026-03-06,Friday,0,Sunny,0,None,89.7,429,421,8
2026-03-07,Saturday,1,Sunny,0,None,56.0,219,212,7
2026-03-08,Sunday,1,Sunny,0,None,64.4,244,237,7
2026-03-09,Monday,0,Sunny,0,None,87.9,409,395,14
2026-03-10,Tuesday,0,Sunny,0,None,79.7,360,354,6
2026-03-11,Wednesday,0,Rainy,1,None,84.7,367,357,10
2026-03-12,Thursday,0,Rainy,0,None,82.8,362,352,10
2026-03-13,Friday,0,Sunny,0,None,78.4,371,364,7
2026-03-14,Saturday,1,Hot,0,None,53.6,193,190,3
2026-03-15,Sunday,1,Hot,0,None,62.1,223,215,8
2026-03-16,Monday,0,Hot,0,None,84.7,361,351,10
2026-03-17,Tuesday,0,Sunny,0,None,74.8,338,332,6
2026-03-18,Wednesday,0,Rainy,0,None,86.1,376,363,13
2026-03-19,Thursday,0,Sunny,0,None,82.9,391,378,13
2026-03-20,Friday,0,Sunny,0,None,92.2,424,415,9
2026-03-21,Saturday,1,Hot,0,None,55.0,187,180,7
2026-03-22,Sunday,1,Sunny,0,None,61.1,216,212,4
2026-03-23,Monday,0,Rainy,0,None,90.0,394,384,10
2026-03-24,Tuesday,0,Sunny,0,None,82.9,390,377,13
2026-03-25,Wednesday,0,Sunny,0,None,84.4,401,392,9
2026-03-26,Thursday,0,Sunny,0,None,86.6,403,396,7
2026-03-27,Friday,0,Sunny,0,None,93.8,442,433,9
2026-03-28,Saturday,1,Sunny,0,None,65.4,242,235,7
2026-03-29,Sunday,1,Sunny,0,None,59.1,211,206,5
2026-03-30,Monday,0,Rainy,0,None,76.6,350,339,11
2026-03-31,Tuesday,0,Rainy,0,Cultural Event,88.6,427,420,7
2026-04-01,Wednesday,0,Cloudy,0,None,83.3,394,388,6
2026-04-02,Thursday,0,Rainy,0,None,77.6,359,350,9
2026-04-03,Friday,0,Hot,0,None,83.0,370,361,9
2026-04-04,Saturday,1,Cloudy,0,Workshop,66.4,249,242,7
2026-04-05,Sunday,1,Sunny,0,None,56.3,186,181,5
2026-04-06,Monday,0,Hot,0,None,81.1,364,355,9
2026-04-07,Tuesday,0,Cloudy,0,None,88.9,416,407,9
2026-04-08,Wednesday,0,Rainy,0,None,84.6,368,358,10
2026-04-09,Thursday,0,Hot,0,None,85.0,373,366,7
2026-04-10,Friday,0,Rainy,0,None,93.4,411,400,11
2026-04-11,Saturday,1,Rainy,0,Workshop,57.0,214,210,4
2026-04-12,Sunday,1,Cloudy,0,None,63.9,239,235,4
2026-04-13,Monday,0,Sunny,1,None,86.1,376,368,8
2026-04-14,Tuesday,0,Sunny,0,None,87.2,393,384,9
2026-04-15,Wednesday,0,Sunny,0,None,88.6,430,416,14
2026-04-16,Thursday,0,Cloudy,0,None,85.6,404,391,13
2026-04-17,Friday,0,Sunny,0,None,87.5,424,410,14
2026-04-18,Saturday,1,Hot,0,None,50.0,186,180,6
2026-04-19,Sunday,1,Rainy,0,None,61.9,228,220,8
2026-04-20,Monday,0,Sunny,0,None,83.8,401,393,8
2026-04-21,Tuesday,0,Sunny,0,None,89.0,421,411,10
2026-04-22,Wednesday,0,Cloudy,0,None,88.2,410,402,8
2026-04-23,Thursday,0,Cloudy,0,Festival,98.0,481,465,16
2026-04-24,Friday,0,Hot,0,None,81.5,369,362,7
2026-04-25,Saturday,1,Cloudy,0,None,63.6,227,223,4
2026-04-26,Sunday,1,Rainy,0,None,60.0,202,195,7
2026-04-27,Monday,0,Cloudy,0,None,84.5,391,378,13
2026-04-28,Tuesday,0,Sunny,0,None,87.9,420,410,10
2026-04-29,Wednesday,0,Sunny,0,None,84.9,411,401,10
2026-04-30,Thursday,0,Sunny,0,Cultural Event,94.4,460,450,10
2026-05-01,Friday,0,Cloudy,0,None,82.6,387,379,8
2026-05-02,Saturday,1,Sunny,0,None,65.4,238,232,6
2026-05-03,Sunday,1,Sunny,0,Cultural Event,69.2,256,247,9
2026-05-04,Monday,0,Sunny,0,None,86.5,411,404,7
2026-05-05,Tuesday,0,Sunny,0,None,83.0,391,380,11
2026-05-06,Wednesday,0,Sunny,0,None,86.1,408,397,11
2026-05-07,Thursday,0,Cloudy,0,None,90.3,426,416,10
2026-05-08,Friday,0,Hot,0,None,86.2,381,374,7
2026-05-09,Saturday,1,Cloudy,0,None,62.1,215,209,6
2026-05-10,Sunday,1,Rainy,0,Festival,58.2,199,195,4
2026-05-11,Monday,0,Sunny,0,None,87.6,415,407,8
2026-05-12,Tuesday,0,Rainy,0,None,76.9,343,332,11
2026-05-13,Wednesday,0,Sunny,0,None,83.4,380,372,8
2026-05-14,Thursday,0,Sunny,0,None,89.0,422,409,13
2026-05-15,Friday,0,Rainy,0,None,77.9,353,345,8
2026-05-16,Saturday,1,Sunny,0,None,64.7,245,236,9
2026-05-17,Sunday,1,Sunny,0,None,59.1,221,216,5
2026-05-18,Monday,0,Rainy,0,Sports Event,87.4,400,393,7
2026-05-19,Tuesday,0,Sunny,0,Workshop,91.5,427,419,8
2026-05-20,Wednesday,0,Cloudy,0,None,83.8,398,391,7
2026-05-21,Thursday,0,Cloudy,0,None,87.8,415,408,7
2026-05-22,Friday,0,Sunny,0,None,88.8,425,418,7
2026-05-23,Saturday,1,Rainy,0,None,70.9,241,237,4
2026-05-24,Sunday,1,Sunny,0,None,58.5,220,213,7
2026-05-25,Monday,0,Cloudy,0,None,93.7,441,434,7
