date,day_of_week,is_weekend,attendance,temperature_c,holiday,food_prepared_meals,meals_served,surplus_meals,surplus_kg
2025-06-20,4,0,959,27.2,0,1034,906,128,12.8
2025-06-21,5,1,581,22.6,0,568,520,48,4.8
2025-06-22,6,1,487,24.7,0,445,415,30,3.0
2025-06-23,0,0,798,22.7,1,581,546,35,3.5
2025-06-24,1,0,867,32.9,0,899,832,67,6.7
2025-06-25,2,0,964,26.4,0,974,898,76,7.6
2025-06-26,3,0,907,22.9,0,978,926,52,5.2
2025-06-27,4,0,827,30.7,0,858,778,80,8.0
2025-06-28,5,1,512,26.0,0,516,454,62,6.2
2025-06-29,6,1,502,31.3,0,519,455,64,6.4
2025-06-30,0,0,911,26.1,0,986,884,102,10.2
2025-07-01,1,0,1070,28.3,0,1070,1000,70,7.0
2025-07-02,2,0,1004,20.3,0,1038,931,107,10.7
2025-07-03,3,0,1013,21.5,0,1085,967,118,11.8
2025-07-04,4,0,869,32.1,1,639,604,35,3.5
2025-07-05,5,1,473,21.3,0,417,396,21,2.1
2025-07-06,6,1,524,33.1,0,557,501,56,5.6
2025-07-07,0,0,760,23.9,0,818,738,80,8.0
2025-07-08,1,0,769,29.4,0,755,699,56,5.6
2025-07-09,2,0,1091,31.7,0,1204,1088,116,11.6
2025-07-10,3,0,808,33.4,0,845,785,60,6.0
2025-07-11,4,0,789,30.5,0,825,770,55,5.5
2025-07-12,5,1,421,32.5,1,175,162,13,1.3
2025-07-13,6,1,474,32.3,0,502,444,58,5.8
2025-07-14,0,0,790,24.1,0,840,785,55,5.5
2025-07-15,1,0,1091,22.1,0,1181,1038,143,14.3
2025-07-16,2,0,917,23.8,0,1068,942,126,12.6
2025-07-17,3,0,939,27.8,0,955,895,60,6.0
2025-07-18,4,0,942,21.2,0,944,875,69,6.9
2025-07-19,5,1,563,30.8,0,535,483,52,5.2
2025-07-20,6,1,497,25.9,1,267,248,19,1.9
2025-07-21,0,0,988,23.9,0,959,909,50,5.0
2025-07-22,1,0,950,31.6,0,1015,923,92,9.2
2025-07-23,2,0,853,26.5,0,919,812,107,10.7
2025-07-24,3,0,978,20.0,1,854,745,109,10.9
2025-07-25,4,0,766,34.3,0,794,743,51,5.1
2025-07-26,5,1,461,34.4,0,523,466,57,5.7
2025-07-27,6,1,607,32.7,0,636,579,57,5.7
2025-07-28,0,0,892,30.4,0,949,856,93,9.3
2025-07-29,1,0,1031,28.5,0,1041,988,53,5.3
2025-07-30,2,0,866,31.0,0,944,836,108,10.8
2025-07-31,3,0,972,32.9,0,992,917,75,7.5
2025-08-01,4,0,852,20.6,0,843,797,46,4.6
2025-08-02,5,1,436,28.0,0,426,391,35,3.5
2025-08-03,6,1,438,24.7,0,419,377,42,4.2
2025-08-04,0,0,765,26.4,0,837,767,70,7.0
2025-08-05,1,0,976,33.1,0,1083,947,136,13.6
2025-08-06,2,0,976,21.1,0,999,947,52,5.2
2025-08-07,3,0,1067,27.2,0,1097,1004,93,9.3
2025-08-08,4,0,814,23.6,0,886,816,70,7.0
2025-08-09,5,1,557,32.8,0,544,477,67,6.7
2025-08-10,6,1,606,26.4,0,631,564,67,6.7
2025-08-11,0,0,889,34.3,0,1014,883,131,13.1
2025-08-12,1,0,1068,34.2,0,1101,991,110,11.0
2025-08-13,2,0,902,31.2,0,969,903,66,6.6
2025-08-14,3,0,992,27.7,0,1004,940,64,6.4
2025-08-15,4,0,967,20.6,1,805,723,82,8.2
2025-08-16,5,1,614,33.3,0,669,582,87,8.7
2025-08-17,6,1,460,23.9,0,474,416,58,5.8
2025-08-18,0,0,976,23.4,0,1021,925,96,9.6
2025-08-19,1,0,1078,33.4,0,1057,981,76,7.6
2025-08-20,2,0,778,33.3,1,619,545,74,7.4
2025-08-21,3,0,758,24.9,1,547,509,38,3.8
2025-08-22,4,0,787,23.9,0,858,780,78,7.8
2025-08-23,5,1,597,34.4,0,641,579,62,6.2
2025-08-24,6,1,439,30.2,0,437,406,31,3.1
2025-08-25,0,0,1011,27.8,0,1013,950,63,6.3
2025-08-26,1,0,1018,32.6,0,1084,970,114,11.4
2025-08-27,2,0,940,30.5,0,980,933,47,4.7
2025-08-28,3,0,909,25.0,0,923,866,57,5.7
2025-08-29,4,0,1007,32.5,0,1086,976,110,11.0
2025-08-30,5,1,622,25.7,0,636,562,74,7.4
2025-08-31,6,1,639,21.6,0,631,582,49,4.9
2025-09-01,0,0,809,22.7,0,875,775,100,10.0
2025-09-02,1,0,991,34.2,0,1074,979,95,9.5
2025-09-03,2,0,771,29.3,0,884,777,107,10.7
2025-09-04,3,0,941,30.1,0,1018,935,83,8.3
2025-09-05,4,0,778,20.3,0,862,784,78,7.8
2025-09-06,5,1,578,23.8,0,589,515,74,7.4
2025-09-07,6,1,498,26.8,0,476,421,55,5.5
