date,day_of_week,weather,attendance_pct,meals_prepared,meals_consumed
2026-08-29,Saturday,Rainy,90.6,412,356
2026-08-30,Sunday,Rainy,62.4,290,258
2026-08-31,Monday,Rainy,68.2,400,377
2026-09-01,Tuesday,Sunny,59.6,379,350
2026-09-02,Wednesday,Sunny,77.3,545,473
2026-09-03,Thursday,Rainy,87.2,502,473
2026-09-04,Friday,Sunny,95.0,670,569
2026-09-05,Saturday,Rainy,80.7,354,315
2026-09-06,Sunday,Rainy,96.3,396,353
2026-09-07,Monday,Rainy,66.2,392,344
